Command Complete Flag	CV_X400:I.DATA[0].0
Command Error Flag	CV_X400:I.DATA[0].1
Command Ready Flag	CV_X400:I.DATA[0].2
Result Ready Flag	CV_X400:I.DATA[0].3
Result OR Flag	CV_X400:I.DATA[0].4
Reserved	CV_X400:I.DATA[0].5
Reserved	CV_X400:I.DATA[0].6
Reserved	CV_X400:I.DATA[0].7
READY1	CV_X400:I.DATA[0].8
READY2	CV_X400:I.DATA[0].9
READY3	CV_X400:I.DATA[0].10
READY4	CV_X400:I.DATA[0].11
Reserved	CV_X400:I.DATA[0].12
Reserved	CV_X400:I.DATA[0].13
Reserved	CV_X400:I.DATA[0].14
Reserved	CV_X400:I.DATA[0].15
ACK1	CV_X400:I.DATA[0].16
ACK2	CV_X400:I.DATA[0].17
ACK3	CV_X400:I.DATA[0].18
ACK4	CV_X400:I.DATA[0].19
Reserved	CV_X400:I.DATA[0].20
Reserved	CV_X400:I.DATA[0].21
Reserved	CV_X400:I.DATA[0].22
Reserved	CV_X400:I.DATA[0].23
BUSY	CV_X400:I.DATA[0].24
ERROR	CV_X400:I.DATA[0].25
Reserved	CV_X400:I.DATA[0].26
RUN	CV_X400:I.DATA[0].27
Reserved	CV_X400:I.DATA[0].28
Reserved	CV_X400:I.DATA[0].29
Reserved	CV_X400:I.DATA[0].30
Reserved	CV_X400:I.DATA[0].31
Tool Judge Value0	CV_X400:I.DATA[1].0
Tool Judge Value1	CV_X400:I.DATA[1].1
Tool Judge Value2	CV_X400:I.DATA[1].2
Tool Judge Value3	CV_X400:I.DATA[1].3
Tool Judge Value4	CV_X400:I.DATA[1].4
Tool Judge Value5	CV_X400:I.DATA[1].5
Tool Judge Value6	CV_X400:I.DATA[1].6
Tool Judge Value7	CV_X400:I.DATA[1].7
Tool Judge Value8	CV_X400:I.DATA[1].8
Tool Judge Value9	CV_X400:I.DATA[1].9
Tool Judge Value10	CV_X400:I.DATA[1].10
Tool Judge Value11	CV_X400:I.DATA[1].11
Tool Judge Value12	CV_X400:I.DATA[1].12
Tool Judge Value13	CV_X400:I.DATA[1].13
Tool Judge Value14	CV_X400:I.DATA[1].14
Tool Judge Value15	CV_X400:I.DATA[1].15
Tool Judge Value16	CV_X400:I.DATA[1].16
Tool Judge Value17	CV_X400:I.DATA[1].17
Tool Judge Value18	CV_X400:I.DATA[1].18
Tool Judge Value19	CV_X400:I.DATA[1].19
Tool Judge Value20	CV_X400:I.DATA[1].20
Tool Judge Value21	CV_X400:I.DATA[1].21
Tool Judge Value22	CV_X400:I.DATA[1].22
Tool Judge Value23	CV_X400:I.DATA[1].23
Tool Judge Value24	CV_X400:I.DATA[1].24
Tool Judge Value25	CV_X400:I.DATA[1].25
Tool Judge Value26	CV_X400:I.DATA[1].26
Tool Judge Value27	CV_X400:I.DATA[1].27
Tool Judge Value28	CV_X400:I.DATA[1].28
Tool Judge Value29	CV_X400:I.DATA[1].29
Tool Judge Value30	CV_X400:I.DATA[1].30
Tool Judge Value31	CV_X400:I.DATA[1].31
Tool Judge Value32	CV_X400:I.DATA[2].0
Tool Judge Value33	CV_X400:I.DATA[2].1
Tool Judge Value34	CV_X400:I.DATA[2].2
Tool Judge Value35	CV_X400:I.DATA[2].3
Tool Judge Value36	CV_X400:I.DATA[2].4
Tool Judge Value37	CV_X400:I.DATA[2].5
Tool Judge Value38	CV_X400:I.DATA[2].6
Tool Judge Value39	CV_X400:I.DATA[2].7
Tool Judge Value40	CV_X400:I.DATA[2].8
Tool Judge Value41	CV_X400:I.DATA[2].9
Tool Judge Value42	CV_X400:I.DATA[2].10
Tool Judge Value43	CV_X400:I.DATA[2].11
Tool Judge Value44	CV_X400:I.DATA[2].12
Tool Judge Value45	CV_X400:I.DATA[2].13
Tool Judge Value46	CV_X400:I.DATA[2].14
Tool Judge Value47	CV_X400:I.DATA[2].15
Tool Judge Value48	CV_X400:I.DATA[2].16
Tool Judge Value49	CV_X400:I.DATA[2].17
Tool Judge Value50	CV_X400:I.DATA[2].18
Tool Judge Value51	CV_X400:I.DATA[2].19
Tool Judge Value52	CV_X400:I.DATA[2].20
Tool Judge Value53	CV_X400:I.DATA[2].21
Tool Judge Value54	CV_X400:I.DATA[2].22
Tool Judge Value55	CV_X400:I.DATA[2].23
Tool Judge Value56	CV_X400:I.DATA[2].24
Tool Judge Value57	CV_X400:I.DATA[2].25
Tool Judge Value58	CV_X400:I.DATA[2].26
Tool Judge Value59	CV_X400:I.DATA[2].27
Tool Judge Value60	CV_X400:I.DATA[2].28
Tool Judge Value61	CV_X400:I.DATA[2].29
Tool Judge Value62	CV_X400:I.DATA[2].30
Tool Judge Value63	CV_X400:I.DATA[2].31
Error Code	CV_X400:I.DATA[3].0
Error Code	CV_X400:I.DATA[3].1
Error Code	CV_X400:I.DATA[3].2
Error Code	CV_X400:I.DATA[3].3
Error Code	CV_X400:I.DATA[3].4
Error Code	CV_X400:I.DATA[3].5
Error Code	CV_X400:I.DATA[3].6
Error Code	CV_X400:I.DATA[3].7
Error Code	CV_X400:I.DATA[3].8
Error Code	CV_X400:I.DATA[3].9
Error Code	CV_X400:I.DATA[3].10
Error Code	CV_X400:I.DATA[3].11
Error Code	CV_X400:I.DATA[3].12
Error Code	CV_X400:I.DATA[3].13
Error Code	CV_X400:I.DATA[3].14
Error Code	CV_X400:I.DATA[3].15
Reserved	CV_X400:I.DATA[3].16
Reserved	CV_X400:I.DATA[3].17
Reserved	CV_X400:I.DATA[3].18
Reserved	CV_X400:I.DATA[3].19
Reserved	CV_X400:I.DATA[3].20
Reserved	CV_X400:I.DATA[3].21
Reserved	CV_X400:I.DATA[3].22
Reserved	CV_X400:I.DATA[3].23
Reserved	CV_X400:I.DATA[3].24
Reserved	CV_X400:I.DATA[3].25
Reserved	CV_X400:I.DATA[3].26
Reserved	CV_X400:I.DATA[3].27
Reserved	CV_X400:I.DATA[3].28
Reserved	CV_X400:I.DATA[3].29
Reserved	CV_X400:I.DATA[3].30
Reserved	CV_X400:I.DATA[3].31
Total Count	CV_X400:I.DATA[4]
Command Result	CV_X400:I.DATA[5]
Command Data1	CV_X400:I.DATA[6]
Command Data2	CV_X400:I.DATA[7]
Command Data3	CV_X400:I.DATA[8]
Command Data4	CV_X400:I.DATA[9]
Command Data5	CV_X400:I.DATA[10]
Command Data6	CV_X400:I.DATA[11]
Result Data1	CV_X400:I.DATA[12]
Result Data2	CV_X400:I.DATA[13]
Result Data3	CV_X400:I.DATA[14]
Result Data4	CV_X400:I.DATA[15]
Result Data5	CV_X400:I.DATA[16]
Result Data6	CV_X400:I.DATA[17]
Result Data7	CV_X400:I.DATA[18]
Result Data8	CV_X400:I.DATA[19]
Result Data9	CV_X400:I.DATA[20]
Result Data10	CV_X400:I.DATA[21]
